antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Rain Jacket'}),"frozenset({'Vapor Cricket', 'Windrunner'})",0.5119047619047619,0.27380952380952384,0.14285714285714285,0.27906976744186046,1.019211324570273,1.0,0.002692743764172334,1.0072964669738864,0.03861788617886176,0.22222222222222224,0.007243614182234042,0.4004044489383215
frozenset({'Windrunner'}),"frozenset({'Rain Jacket', 'Vapor Cricket'})",0.5119047619047619,0.23809523809523808,0.14285714285714285,0.27906976744186046,1.172093023255814,1.0,0.02097505668934241,1.0568356374807988,0.3008130081300813,0.2352941176470588,0.05377906976744187,0.4395348837209302
frozenset({'Vapor Cricket'}),"frozenset({'Rain Jacket', 'Windrunner'})",0.5119047619047619,0.23809523809523808,0.14285714285714285,0.27906976744186046,1.172093023255814,1.0,0.02097505668934241,1.0568356374807988,0.3008130081300813,0.2352941176470588,0.05377906976744187,0.4395348837209302
"frozenset({'Rain Jacket', 'Hats'})",frozenset({'Vapor Cricket'}),0.25,0.5119047619047619,0.13095238095238096,0.5238095238095238,1.0232558139534884,1.0,0.0029761904761904934,1.0250000000000001,0.030303030303030474,0.20754716981132076,0.024390243902439164,0.38981173864894797
"frozenset({'Rain Jacket', 'Vapor Cricket'})",frozenset({'Hats'}),0.23809523809523808,0.5357142857142857,0.13095238095238096,0.55,1.0266666666666668,1.0,0.003401360544217691,1.0317460317460319,0.03409090909090913,0.20370370370370375,0.0307692307692309,0.39722222222222225
frozenset({'Hats'}),"frozenset({'Rain Jacket', 'Vapor Cricket'})",0.5357142857142857,0.23809523809523808,0.13095238095238096,0.24444444444444446,1.0266666666666668,1.0,0.003401360544217691,1.0084033613445378,0.055944055944056,0.20370370370370375,0.008333333333333377,0.39722222222222225
frozenset({'Vapor Cricket'}),"frozenset({'Rain Jacket', 'Hats'})",0.5119047619047619,0.25,0.13095238095238096,0.2558139534883721,1.0232558139534884,1.0,0.0029761904761904934,1.0078125,0.04656319290465658,0.20754716981132076,0.007751937984496138,0.38981173864894797
"frozenset({'Rain Jacket', 'Vapor Cricket'})",frozenset({'Tech Fleece'}),0.23809523809523808,0.5119047619047619,0.13095238095238096,0.55,1.074418604651163,1.0,0.009070294784580518,1.0846560846560849,0.09090909090909109,0.21153846153846154,0.07804878048780504,0.4029069767441861
"frozenset({'Vapor Cricket', 'Tech Fleece'})",frozenset({'Rain Jacket'}),0.25,0.5119047619047619,0.13095238095238096,0.5238095238095238,1.0232558139534884,1.0,0.0029761904761904934,1.0250000000000001,0.030303030303030474,0.20754716981132076,0.024390243902439164,0.38981173864894797
frozenset({'Rain Jacket'}),"frozenset({'Vapor Cricket', 'Tech Fleece'})",0.5119047619047619,0.25,0.13095238095238096,0.2558139534883721,1.0232558139534884,1.0,0.0029761904761904934,1.0078125,0.04656319290465658,0.20754716981132076,0.007751937984496138,0.38981173864894797
frozenset({'Tech Fleece'}),"frozenset({'Rain Jacket', 'Vapor Cricket'})",0.5119047619047619,0.23809523809523808,0.13095238095238096,0.2558139534883721,1.0744186046511628,1.0,0.009070294784580518,1.0238095238095237,0.14190687361419096,0.21153846153846154,0.023255813953488403,0.4029069767441861
"frozenset({'Rain Jacket', 'Windrunner'})",frozenset({'Hats'}),0.23809523809523808,0.5357142857142857,0.14285714285714285,0.6,1.1199999999999999,1.0,0.015306122448979581,1.1607142857142856,0.14062499999999992,0.22641509433962265,0.13846153846153844,0.43333333333333335
"frozenset({'Rain Jacket', 'Hats'})",frozenset({'Windrunner'}),0.25,0.5119047619047619,0.14285714285714285,0.5714285714285714,1.1162790697674418,1.0,0.014880952380952384,1.1388888888888888,0.13888888888888892,0.23076923076923075,0.12195121951219513,0.42524916943521596
"frozenset({'Windrunner', 'Hats'})",frozenset({'Rain Jacket'}),0.27380952380952384,0.5119047619047619,0.14285714285714285,0.5217391304347825,1.0192113245702727,1.0,0.002692743764172334,1.0205627705627704,0.02595628415300545,0.22222222222222224,0.020148462354188587,0.4004044489383215
frozenset({'Rain Jacket'}),"frozenset({'Windrunner', 'Hats'})",0.5119047619047619,0.27380952380952384,0.14285714285714285,0.27906976744186046,1.019211324570273,1.0,0.002692743764172334,1.0072964669738864,0.03861788617886176,0.22222222222222224,0.007243614182234042,0.4004044489383215
frozenset({'Windrunner'}),"frozenset({'Rain Jacket', 'Hats'})",0.5119047619047619,0.25,0.14285714285714285,0.27906976744186046,1.1162790697674418,1.0,0.014880952380952384,1.0403225806451613,0.2134146341463415,0.23076923076923075,0.03875968992248061,0.42524916943521596
frozenset({'Hats'}),"frozenset({'Rain Jacket', 'Windrunner'})",0.5357142857142857,0.23809523809523808,0.14285714285714285,0.26666666666666666,1.12,1.0,0.015306122448979581,1.0389610389610389,0.2307692307692306,0.22641509433962265,0.03750000000000001,0.43333333333333335
frozenset({'Therma-FIT'}),frozenset({'Backpack'}),0.5119047619047619,0.5,0.32142857142857145,0.6279069767441862,1.2558139534883723,1.0,0.06547619047619052,1.3437500000000004,0.41734417344173463,0.4655172413793104,0.2558139534883723,0.6353820598006645
frozenset({'Backpack'}),frozenset({'Therma-FIT'}),0.5,0.5119047619047619,0.32142857142857145,0.6428571428571429,1.2558139534883723,1.0,0.06547619047619052,1.366666666666667,0.40740740740740766,0.4655172413793104,0.26829268292682945,0.6353820598006645
frozenset({'Rain Jacket'}),frozenset({'Backpack'}),0.5119047619047619,0.5,0.30952380952380953,0.6046511627906977,1.2093023255813955,1.0,0.0535714285714286,1.2647058823529413,0.354596622889306,0.44067796610169496,0.2093023255813955,0.6118493909191585
frozenset({'Backpack'}),frozenset({'Rain Jacket'}),0.5,0.5119047619047619,0.30952380952380953,0.6190476190476191,1.2093023255813955,1.0,0.0535714285714286,1.2812500000000002,0.34615384615384637,0.44067796610169496,0.21951219512195133,0.6118493909191585
